Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SP500TR,6/12/2017,4678.759766,4687.359863,4667.359863,4685.540039,4685.540039,0
SP500TR,6/13/2017,4695.919922,4710.040039,4690.439941,4707.879883,4707.879883,0
SP500TR,6/14/2017,4714.779785,4714.779785,4685.5,4703.529785,4703.529785,0
SP500TR,6/15/2017,4677.810059,4696.720215,4667.100098,4693.859863,4693.859863,0
SP500TR,6/16/2017,4691.540039,4695.240234,4675.419922,4695.22998,4695.22998,0
SP500TR,6/19/2017,4713.430176,4735.109863,4712.080078,4734.47998,4734.47998,0
SP500TR,6/20/2017,4729.129883,4729.129883,4702,4702.819824,4702.819824,0
SP500TR,6/21/2017,4707.640137,4713.169922,4691.100098,4700.5,4700.5,0
SP500TR,6/22/2017,4704.009766,4712.140137,4696.069824,4698.399902,4698.399902,0
SP500TR,6/23/2017,4698.689941,4711.709961,4691.919922,4705.72998,4705.72998,0
SP500TR,6/26/2017,4715.470215,4729.160156,4703.339844,4707.27002,4707.27002,0
SP500TR,6/27/2017,4702,4709.189941,4669.27002,4669.27002,4669.27002,0
SP500TR,6/28/2017,4688.189941,4715.720215,4687.009766,4711.330078,4711.330078,0
SP500TR,6/29/2017,4714.75,4715.410156,4644.069824,4670.959961,4670.959961,0
SP500TR,6/30/2017,4689.549805,4696.220215,4674.970215,4678.359863,4678.359863,0
SP500TR,7/3/2017,4694.189941,4709.160156,4688.990234,4689.609863,4689.609863,0
SP500TR,7/5/2017,4693.939941,4701.899902,4677.310059,4697.339844,4697.339844,0
SP500TR,7/6/2017,4681.459961,4682.990234,4651.209961,4655.02002,4655.02002,0
SP500TR,7/7/2017,4662.359863,4688.220215,4662.359863,4684.879883,4684.879883,0
SP500TR,7/10/2017,4683.589844,4698.060059,4679.5,4689.25,4689.25,0
SP500TR,7/11/2017,4689.169922,4692.930176,4661.140137,4685.640137,4685.640137,0
SP500TR,7/12/2017,4705.790039,4725.129883,4705.790039,4720.279785,4720.279785,0
SP500TR,7/13/2017,4723.75,4732.089844,4717.410156,4729.25,4729.25,0
SP500TR,7/14/2017,4731.899902,4759.549805,4727.379883,4751.430176,4751.430176,0
SP500TR,7/17/2017,4752.02002,4758.419922,4747.560059,4751.330078,4751.330078,0
SP500TR,7/18/2017,4745.140137,4754.839844,4734.529785,4754.27002,4754.27002,0
SP500TR,7/19/2017,4760.970215,4780.25,4760.970215,4780.25,4780.25,0
SP500TR,7/20/2017,4783.919922,4787.77002,4770.319824,4779.839844,4779.839844,0
SP500TR,7/21/2017,4768.149902,4778.080078,4763.640137,4778.069824,4778.069824,0
SP500TR,7/24/2017,4777.209961,4779.27002,4766.200195,4773.100098,4773.100098,0
SP500TR,7/25/2017,4788.5,4795,4782.77002,4787.040039,4787.040039,0
SP500TR,7/26/2017,4792.549805,4795.100098,4782.830078,4788.410156,4788.410156,0
SP500TR,7/27/2017,4798.439941,4800.75,4755.370117,4784.259766,4784.259766,0
SP500TR,7/28/2017,4772.25,4780.779785,4763.740234,4778.02002,4778.02002,0
SP500TR,7/31/2017,4785.459961,4789.359863,4771.200195,4774.560059,4774.560059,0
SP500TR,8/1/2017,4787.72998,4790.450195,4776.209961,4786.27002,4786.27002,0
SP500TR,8/2/2017,4794.97998,4794.97998,4768.279785,4789.540039,4789.540039,0
SP500TR,8/3/2017,4787.47998,4787.47998,4773.620117,4779.990234,4779.990234,0
SP500TR,8/4/2017,4789.209961,4795.200195,4779.950195,4789.109863,4789.109863,0
SP500TR,8/7/2017,4789.839844,4797.149902,4787.419922,4797.129883,4797.129883,0
SP500TR,8/8/2017,4792.759766,4816.970215,4777.259766,4786.120117,4786.120117,0
SP500TR,8/9/2017,4768.169922,4785.589844,4761.879883,4784.939941,4784.939941,0
SP500TR,8/10/2017,4769.959961,4769.959961,4716.629883,4717.399902,4717.399902,0
SP500TR,8/11/2017,4723.189941,4736.790039,4717.120117,4723.72998,4723.72998,0
SP500TR,8/14/2017,4750.379883,4776.040039,4750.379883,4771.430176,4771.430176,0
SP500TR,8/15/2017,4777.97998,4778.450195,4764.350098,4770.149902,4770.149902,0
SP500TR,8/16/2017,4779.279785,4791.399902,4770.189941,4778.279785,4778.279785,0
SP500TR,8/17/2017,4768.509766,4772.509766,4704.72998,4704.72998,4704.72998,0
SP500TR,8/18/2017,4700.259766,4724.580078,4686.839844,4696.220215,4696.220215,0
SP500TR,8/21/2017,4696.27002,4706.100098,4680.529785,4701.819824,4701.819824,0
SP500TR,8/22/2017,4712.410156,4753.109863,4712.410156,4748.72998,4748.72998,0
SP500TR,8/23/2017,4734.370117,4742.169922,4727.680176,4732.759766,4732.759766,0
SP500TR,8/24/2017,4740.339844,4745.089844,4717.649902,4723.029785,4723.029785,0
SP500TR,8/25/2017,4734.709961,4752.410156,4729.879883,4731.459961,4731.459961,0
SP500TR,8/28/2017,4740,4743.410156,4723.890137,4733.970215,4733.970215,0
SP500TR,8/29/2017,4710.819824,4744.169922,4703.580078,4738.620117,4738.620117,0
SP500TR,8/30/2017,4739.399902,4766.97998,4734.959961,4761.720215,4761.720215,0
SP500TR,8/31/2017,4771.72998,4795.609863,4771.72998,4789.180176,4789.180176,0
SP500TR,9/1/2017,4794.859863,4806.410156,4793.830078,4798.990234,4798.990234,0
SP500TR,9/5/2017,4786.970215,4790.100098,4741.049805,4762.75,4762.75,0
SP500TR,9/6/2017,4774.379883,4785.629883,4765.509766,4777.689941,4777.689941,0
SP500TR,9/7/2017,4783.660156,4784.75,4768.620117,4777.930176,4777.930176,0
SP500TR,9/8/2017,4772.609863,4782.029785,4767.140137,4771.02002,4771.02002,0
SP500TR,9/11/2017,4796.459961,4824.430176,4796.459961,4822.799805,4822.799805,0
SP500TR,9/12/2017,4830.5,4839.859863,4827.459961,4839.310059,4839.310059,0
SP500TR,9/13/2017,4834.350098,4843.049805,4830.970215,4843.040039,4843.040039,0
SP500TR,9/14/2017,4837.22998,4844.72998,4831.160156,4839.290039,4839.290039,0
SP500TR,9/15/2017,4840,4848.839844,4835.200195,4848.839844,4848.839844,0
SP500TR,9/18/2017,4853.439941,4864.549805,4848.419922,4856.080078,4856.080078,0
SP500TR,9/19/2017,4860.830078,4863.839844,4854.939941,4861.52002,4861.52002,0
SP500TR,9/20/2017,4861.890137,4865.799805,4842.189941,4864.609863,4864.609863,0
SP500TR,9/21/2017,4862.660156,4862.660156,4846.930176,4849.950195,4849.950195,0
SP500TR,9/22/2017,4843.580078,4855.609863,4842.810059,4853.200195,4853.200195,0
SP500TR,9/25/2017,4847.709961,4853.799805,4825.660156,4842.410156,4842.410156,0
SP500TR,9/26/2017,4851.279785,4856.029785,4839.939941,4843.140137,4843.140137,0
SP500TR,9/27/2017,4855.669922,4871.919922,4841.390137,4862.930176,4862.930176,0
SP500TR,9/28/2017,4856.899902,4871.25,4855.959961,4869.810059,4869.810059,0
SP500TR,9/29/2017,4869.72998,4888,4866.040039,4887.970215,4887.970215,0
SP500TR,10/2/2017,4891.560059,4907.129883,4890.029785,4906.919922,4906.919922,0
SP500TR,10/3/2017,4909.5,4918.77002,4906.640137,4917.72998,4917.72998,0
SP500TR,10/4/2017,4915.930176,4929.549805,4912.72998,4924.189941,4924.189941,0
SP500TR,10/5/2017,4931.100098,4953.649902,4929.490234,4952.850098,4952.850098,0
SP500TR,10/6/2017,4945.419922,4949.25,4938.439941,4949.089844,4949.089844,0
SP500TR,10/9/2017,4953.089844,4953.850098,4934.120117,4940.160156,4940.160156,0
SP500TR,10/10/2017,4950.5,4960.669922,4940.580078,4951.77002,4951.77002,0
SP500TR,10/11/2017,4951.819824,4960.790039,4946.649902,4960.790039,4960.790039,0
SP500TR,10/12/2017,4956.629883,4961.370117,4947.77002,4952.850098,4952.850098,0
SP500TR,10/13/2017,4962.100098,4965.919922,4955.169922,4957.27002,4957.27002,0
SP500TR,10/16/2017,4962.029785,4969.529785,4956.379883,4966.049805,4966.049805,0
SP500TR,10/17/2017,4965.140137,4969.990234,4960.47998,4969.379883,4969.379883,0
SP500TR,10/18/2017,4976.390137,4978.720215,4970.200195,4973.279785,4973.279785,0
SP500TR,10/19/2017,4958.399902,4975.810059,4947.890137,4975.319824,4975.319824,0
SP500TR,10/20/2017,4986.259766,5001.560059,4986.259766,5001.109863,5001.109863,0
SP500TR,10/23/2017,5006.799805,5006.799805,4980.129883,4981.370117,4981.370117,0
SP500TR,10/24/2017,4988.649902,4995.470215,4982.720215,4989.560059,4989.560059,0
SP500TR,10/25/2017,4984.490234,4986.160156,4940.759766,4966.290039,4966.290039,0
